NAME	DESCRIPTION	MGH-BrCa-H-74_htsqct	MGH-BrCa-H-68_htsqct	MGH-BrCa-H-66_htsqct	MGH-BrCa-H-59_htsqct	MGH-BrCa-H-11_htsqct	HD-5_htsqct	HD-4_htsqct	HD-3-1_htsqct	HD-2-1_htsqct	HD-1_htsqct
DPM1	DPM1	2.33194112294424	8.2223071877212	21.3324383415844	0	11.7512584588677	2.53989849992997	25.502155113968	24.0280888106668	31.2037024825423	58.253041803453
C1orf112	C1orf112	22.1534406679703	4.48489482966611	4.26648766831688	8.49885126331857	21.2641819731891	29.2088327491947	2.04017240911744	2.18437171006062	15.0240048990019	6.40783459837983
FGR	FGR	75.7880864956879	48.5863606547162	72.530290361387	28.3295042110619	38.0516940572857	33.0186804990896	38.7632757732314	31.673389795879	197.623449056101	92.6223364674903
FUCA2	FUCA2	40.8089696515243	19.4345442618865	19.6258432742577	14.164752105531	18.4662632925063	27.9388834992297	14.2812068638221	32.7655756509093	24.2695463753107	46.0199030247279
NIPAL3	NIPAL3	9.32776449177697	9.71727213094323	12.7994630049507	25.4965537899557	17.9066795563698	38.0984774989496	6.12051722735232	28.3968322307881	39.2935512743125	11.0680779426561
LAS1L	LAS1L	3.49791168441637	4.48489482966611	5.11978520198026	0	22.9429331815988	1.26994924996499	9.18077584102849	4.36874342012124	19.6467756371563	15.1457908688978
ANKIB1	ANKIB1	30.3152345982752	43.353983353439	17.0659506732675	14.164752105531	31.8962729597836	11.4295432496849	46.9239654097012	34.9499473609699	46.2277073815442	22.7186863033467
KRIT1	KRIT1	25.6513523523867	46.3439132398831	18.7725457405943	16.9977025266371	12.3108421950042	17.7792894995098	6.12051722735232	19.6593453905456	34.6707805361581	11.6506083606906
BAD	BAD	29.149264036803	11.2122370741653	22.1857358752478	33.9954050532743	17.9066795563698	26.6689342492647	17.3414654774983	2.18437171006062	2.31138536907721	7.57289543444889
LAP3	LAP3	71.1242042497994	26.9093689779966	47.7846618851491	25.4965537899557	29.0983542791009	11.4295432496849	34.6829309549965	27.3046463757578	84.3655659713181	57.6705113854185
CD99	CD99	2825.14667044695	2726.81605643699	2342.30172990597	2875.44467742278	2132.57361841641	1984.93067769527	1127.19525603739	1109.6608287108	896.817523201957	1533.22006026688
MAD1L1	MAD1L1	4.66388224588849	23.1719566199416	50.3445544861392	0	15.6683446118235	17.7792894995098	20.4017240911744	0	18.4910829526177	27.3789296476229
LASP1	LASP1	22.1534406679703	20.9295092051085	24.7456284762379	25.4965537899557	13.9895934034139	3.80984774989496	3.06025861367616	15.2906019704243	9.24554147630884	4.66024334427624
M6PR	M6PR	40.8089696515243	21.6769916767195	20.479140807921	39.6613058954867	47.5646175716072	17.7792894995098	32.6427585458791	113.587328923152	105.168034293013	88.5446235412486
ICA1	ICA1	3.49791168441637	8.2223071877212	11.0928679376239	0	6.15542109750211	7.61969549978992	16.3213792729395	0	4.62277073815442	7.57289543444889
CFLAR	CFLAR	45.4728518974128	50.8288080695492	52.9044470871294	67.9908101065486	63.7925459195673	53.3378684985294	91.8077584102849	97.2045410976976	50.8504781196986	65.2434068198674
TFPI	TFPI	350.957139003109	156.223836566703	314.013492388123	161.478174003053	238.382671594172	408.923658488726	445.777671392161	291.613623293093	263.497932074802	212.623602582604
RBM5	RBM5	8.16179393030485	31.3942638076628	66.5572076257434	14.164752105531	24.0621006538719	22.8590864993698	28.5624137276442	31.673389795879	32.3593951670809	44.2723117706243
ARF5	ARF5	297.322493175391	297.498023701185	218.444168617824	320.123397585	190.818054022565	109.215635496989	72.4261205236692	77.545195707152	67.0301757032391	107.768127336388
POLDIP2	POLDIP2	6.99582336883273	14.2021669606093	21.3324383415844	14.164752105531	25.7408518622815	15.2393909995798	14.2812068638221	3.27655756509093	1.1556926845386	6.99036501641436
AK2	AK2	11.6597056147212	4.48489482966611	27.3055210772281	14.164752105531	14.5491771395504	33.0186804990896	17.3414654774983	5.46092927515155	26.5809317443879	33.2042338279682
FKBP4	FKBP4	5.82985280736061	7.47482471611018	17.0659506732675	16.9977025266371	6.71500483363866	1.26994924996499	6.12051722735232	1.09218585503031	8.08984879177023	5.24277376231077
KDM1A	KDM1A	4.66388224588849	30.6467813360517	31.5720087455449	8.49885126331857	53.7200386691093	29.2088327491947	14.2812068638221	6.55311513018186	12.7126195299246	17.4759125410359
RBM6	RBM6	2.33194112294424	17.1920968470534	17.0659506732675	8.49885126331857	20.7045982370525	27.9388834992297	92.8278446148436	159.459134834425	94.7668001321656	67.5735284920055
RECQL	RECQL	74.6221159342158	50.0813255979382	69.1171002267335	28.3295042110619	44.7666988909244	22.8590864993698	14.2812068638221	44.7796200562427	93.6111074476269	13.9807300328287
NDUFAB1	NDUFAB1	9.32776449177697	14.9496494322204	15.3593556059408	5.66590084221238	18.4662632925063	72.3871072480042	82.6269825692564	20.7515312455759	43.916322012467	104.855475246215
ST7	ST7	346.29325675722	260.871382592245	211.617788348517	356.95175305938	259.087269831225	63.4974624982493	16.3213792729395	133.246674313698	104.012341608474	36.6994163361754
CDC27	CDC27	57.132557512134	155.476354095092	96.4226213039616	133.148669791991	158.921781062782	142.234315996078	171.374482365865	161.643506544486	116.724961138399	91.4572756314213
HCCS	HCCS	4.66388224588849	6.72734224449916	17.0659506732675	0	8.39375604204833	5.07979699985995	33.6628447504378	15.2906019704243	15.0240048990019	30.2915817377956
UPF1	UPF1	78.1200276186322	97.1727213094323	80.2099681643574	59.49195884323	57.6371248220652	2.53989849992997	1.02008620455872	4.36874342012124	15.0240048990019	0
SKAP2	SKAP2	1751.28778333113	1450.11599492538	1404.52774040992	1742.26450898031	802.44307761982	424.163049488305	429.456292119221	1627.35692399516	1240.05825050992	175.341655828394
