NAME	DESCRIPTION	Breast-60_htsqct	HD-1_htsqct	HD-10_htsqct	HD-11-1_htsqct	HD-13-1_htsqct	HD-14-1_htsqct	HD-15-1_htsqct	HD-16-1_htsqct	HD-17-1_htsqct	HD-18-2_htsqct	HD-2-1_htsqct	HD-3-1_htsqct	HD-4_htsqct	HD-5_htsqct	HD-7_htsqct	HD-8_htsqct	HD-9_htsqct	MGH-BrCa-H-11_htsqct	MGH-BrCa-H-59_htsqct	MGH-BrCa-H-66_htsqct	MGH-BrCa-H-68_htsqct	MGH-BrCa-H-74_htsqct	MGH-BrCa-H-75_htsqct	MGH-BrCa-H31-TR-489_htsqct	MGH-BrCa-H38-TR467_htsqct	MGH-BrCa-H63-TR-491_htsqct	MGH-BrCa-H76-TR469_htsqct	MGH-BrCa-H81-TR492_htsqct	MGH-BrCa-H83-TR550_htsqct	MGH-BrCa-H84-TR551_htsqct	MGH-BrCa-H89-TR471_htsqct	MGH-BrCa-H92-TR472_htsqct
PPP1R2	PPP1R2	21.2351177118648	77.7516197286631	83.4340173809144	41.03160111577	41.1864840781869	56.7693166459434	28.8060576632218	77.599178557021	17.5740450562218	11.6507426339759	46.0624847651031	35.0856057388226	49.3053941618478	69.245445280903	28.2056095376631	56.5723653388431	32.2475267947966	37.6451119272548	27.4168825381614	25.7170920313637	15.1195849455983	17.380323064197	24.129477408271	24.1220598851664	23.4834393768679	26.0850052328282	7.81457792394789	36.0678480147644	17.0950856661705	25.3768872986881	31.1145230874931	20.0960199625179
STARD7	STARD7	0	5.03427753638826	0.579402898478572	17.9801398147756	13.6278807611648	16.2198047559838	12.7502222443769	14.5744650081714	5.85801501874059	12.7099010552464	28.421533152936	7.19704733104053	16.7286158763412	1.21483237334918	0	2.77315516366878	0	25.4226729898344	5.48337650763229	34.2894560418183	23.6654373061538	10.8627019151231	16.6410189022559	9.04577245693738	6.2622505004981	17.2259468518677	1.04194372319305	22.3100090812976	19.6852501610449	23.362848624189	6.6673978044628	9.80293656708189
TDP2	TDP2	89.9369691326038	5.59364170709807	47.5110376752429	57.6286532524859	23.3188181913264	20.7946214820306	35.8895144656534	21.664745282417	27.8255713390178	34.9522279019276	36.2619560916769	27.8885584077821	36.9790456213858	2.42966474669835	22.6871207150769	27.7315516366878	16.7439081434521	23.955980317344	19.191817776713	35.0687618609505	17.0917047211111	42.3645374689801	26.6256302436094	24.6246027994407	37.5735030029886	43.3109520846959	11.9823528167201	17.8480072650381	31.0819739384919	47.1285049832779	26.113974734146	35.2905716414948
PECR	PECR	7.49474742771699	11.1872834141961	15.6438782589215	0	16.6562987080903	8.94168723727314	2.3611522674772	8.86285034280696	4.39351126405544	21.1831684254107	13.7207401427967	0	0	9.7186589867934	3.06582712365904	1.66389309820127	0.620144746053781	3.42228290247771	0	1.55861163826447	9.86059887756409	3.25881057453693	2.49615283533838	0.502542914274299	0	0	0	1.85916742344147	2.07213159589946	9.26457790269565	3.3336989022314	0
SLC38A2	SLC38A2	321.025014820544	12.3060117556158	1.73820869543572	354.992504035313	187.761912709381	231.23619088018	167.641810990881	161.303876239087	181.598465580958	117.566584761029	231.292476692858	154.736517617371	29.0549644168031	34.0153064537769	27.5924441129313	9.9833585892076	8.06188169869916	32.2672387947899	19.191817776713	12.4688931061157	46.0161280952991	14.12151248966	53.2512604872188	30.1525748564579	17.2211888763698	96.9574722805125	34.3841428653707	21.9381755966093	24.3475462518187	39.8779657550813	88.8986373928374	19.1157263058097
POLR2I	POLR2I	24.9824914257233	14.543468438455	15.0644753604429	5.07132148621876	9.08525384077651	7.07017130389039	6.13899589544071	9.65065926216758	27.8255713390178	5.29579210635267	11.7606344081114	11.6952019129409	12.3263485404619	26.7263122136819	21.4607898656133	19.4120861456814	17.3640528895059	23.955980317344	8.22506476144843	13.248198925248	7.231105843547	3.25881057453693	7.48845850601514	7.53814371411449	6.2622505004981	9.84339820106726	7.29360606235136	4.46200181625952	4.66229609077379	16.1123093959924	1.6668494511157	10.293083395436
ZBTB44	ZBTB44	0	3.35618502425884	0	0	0.30284179469255	0.415892429640611	0.472230453495439	1.96952229840155	1.46450375468515	0	1.96010573468524	0	4.40226733587926	6.07416186674588	0	4.43704826187004	0	6.35566824745861	2.74168825381614	7.0137523721901	0	3.25881057453693	1.66410189022559	3.51780039992009	0	3.44518937037354	5.73069047756179	0.743666969376586	2.07213159589946	2.01403867449905	0	2.45073414177047
LONP1	LONP1	0	4.47491336567845	14.4850724619643	0	5.75399409915846	1.24767728892183	0	3.54514013712279	4.39351126405544	8.47326737016428	0	5.3977854982804	0	19.4373179735868	3.67899254839084	4.9916792946038	1.24028949210756	2.44448778748408	0	0	11.1753453945726	0	4.16025472556397	0	0	5.90603892064036	0	7.06483620907757	4.66229609077379	9.66738563759546	0	17.1551389923933
GAB1	GAB1	6.24562285643082	0	0	17.0580813627358	0.908525384077651	3.11919322230458	11.805761337386	1.57561783872124	5.85801501874059	0	3.92021146937048	12.5948328293209	0	3.64449712004753	1.22633084946361	2.77315516366878	0	0.488897557496816	0	7.79305819132233	1.97211977551282	0	9.98461134135352	3.51780039992009	0	39.8657627143224	1.04194372319305	1.85916742344147	2.07213159589946	7.6533469630964	0	2.94088097012457
FUCA2	FUCA2	22.484242283151	44.1897694860747	67.790139121993	27.2007243351733	13.3250389664722	14.5562350374214	17.9447572328267	10.8323726412085	11.7160300374812	14.8282178977875	20.581110214195	26.988927491402	12.3263485404619	26.7263122136819	60.7033770484489	59.9001515352456	46.5108559540336	16.1336193973949	13.7084412690807	17.9240338400414	17.0917047211111	38.0194567029309	18.3051207924815	23.1169740566178	14.0900636261207	30.5145344233085	41.1567770661256	26.4001774128688	31.6000068374668	34.6414652013837	18.8909604459779	18.1354326491015
